Poshmark Inventory Report for @omclosetgalore
Inventory as of 08/30/2026
Notes:
** Only listings that are available are shown on this file.
** The balance amount on this page should not be used for accounting purposes. Please refer to the 'My Balance' page to find the amount that can be used/spent/withdrawn.
""
Listing Date,Number of Days Listed,Listing SKU,Item SKU,Listing Title,Department,Category,Subcategory,Brand,Color,Size,NWT,Quantity Available,Likes,Cost Price,Lowest Listed Price,Current Listing Price,Other Info,Seller Shipping Discount
12/06/2024,632,,,🆕 Kiko Colour Impact Eyeshadow Palette 04 -rain smoky shades,Women,Makeup,Eyeshadow,Kiko,"Green, Purple",OS,Y,1,1,"",$20.00,$20.00,,$1.50
12/08/2024,630,,,"Frye Layla Concha Crossbody, Taupe",Women,Bags,Crossbody Bags,Frye,"Gray, Tan",OS,N,1,6,"",$189.00,$189.00,,$1.50
12/13/2024,625,,,"🆕wob Frye Cuff heel bootie, brown, Sz 6",Women,Shoes,Ankle Boots & Booties,Frye,Brown,6,N,1,1,"",$120.00,$120.00,,$1.50
12/13/2024,625,,,"🆕wob Coach moccasin loafers, black, Sz 9",Men,Shoes,Loafers & Slip-Ons,Coach,Black,9,N,1,74,"",$109.00,$109.00,,$1.50
12/18/2024,620,,,"🆕wob Frye Melissa Button Short, black, Sz 6",Women,Shoes,Ankle Boots & Booties,Frye,Black,6,N,1,3,"",$110.00,$110.00,,$1.50
12/26/2024,612,,,"🆕wob Frye Harness 8r - cognac (brown), Sz 6",Women,Shoes,Heeled Boots,Frye,Brown,6,N,1,5,"",$236.00,$236.00,,$1.50
03/17/2025,531,,,"🆕wob Frye Judy Western boots, Sz 6, black/green",Women,Shoes,Ankle Boots & Booties,Frye,"Green, Black",6,N,1,2,"",$258.00,$258.00,,$1.50
01/08/2025,599,,,"🆕wob Ralph Lauren collection platform espadrille sandal, tan/sand, Sz 10",Women,Shoes,Espadrilles,Ralph Lauren,Tan,10,N,1,3,"",$70.00,$70.00,,$0
01/09/2025,598,,,"🆕NWOB Coach baby haircakf Western boot, black, Sz 6",Women,Shoes,Heeled Boots,Coach,Black,6,N,1,1,"",$210.00,$210.00,,$1.50
01/09/2025,598,,,🆕 Katy Perry popsocket,Electronics,Cell Phones & Accessories,"",Katy Perry Collections,"Red, Pink",OS,Y,1,1,"",$20.00,$20.00,,$1.50
01/10/2025,597,,,"Charles & Keith oversized sunglasses, black",Women,Accessories,Sunglasses,Charles & Keith,Black,OS,N,1,3,"",$39.00,$39.00,,$1.50
01/10/2025,597,,,"🆕NWT Compañia Fantastica tote bag, army green",Women,Bags,Totes,Compañia Fantastica,Green,OS,Y,1,0,"",$18.00,$18.00,,$1.50
01/11/2025,596,,,"🆕NWT Samsonite Rewind Belt Bag, ice blue",Women,Bags,Travel Bags,Samsonite,Blue,OS,Y,1,1,"",$95.00,$95.00,,""
01/11/2025,596,,,"🆕NWT Samsonite Rewind Belt Bag, ice blue",Men,Bags,Belt Bags,Samsonite,Blue,OS,Y,1,2,"",$95.00,$95.00,,""
